order,config_id,model,family,dataset,task,metric,n_runs,mean,std,min,max
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,mrr_at_100,1,0.8877836809654991,,0.8877836809654991,0.8877836809654991
4,embedding_bge,BGE,frozen_embedding,abt_buy,ranking,ndcg_at_100,1,0.9146447839943735,,0.9146447839943735,0.9146447839943735
4,embedding_bge,BGE,frozen_embedding,amazon_google,classification,f1,1,0.5078740157480315,,0.5078740157480315,0.5078740157480315
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,hits_at_1,1,0.8343558282208589,,0.8343558282208589,0.8343558282208589
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,hits_at_100,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,mrr_at_100,1,0.888783765772342,,0.888783765772342,0.888783765772342
4,embedding_bge,BGE,frozen_embedding,amazon_google,ranking,ndcg_at_100,1,0.9108585008452551,,0.9108585008452551,0.9108585008452551
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,classification,f1,1,0.6691094471881472,,0.6691094471881472,0.6691094471881472
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,ranking,hits_at_1,1,0.5618408437200384,,0.5618408437200384,0.5618408437200384
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,ranking,hits_at_100,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,ranking,hits_at_100_end_to_end,1,0.9627692307692308,,0.9627692307692308,0.9627692307692308
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,ranking,mrr_at_100,1,0.6704069937250592,,0.6704069937250592,0.6704069937250592
4,embedding_bge,BGE,frozen_embedding,link_lives_release2,ranking,ndcg_at_100,1,0.7423603924382219,,0.7423603924382219,0.7423603924382219
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,classification,f1,1,0.4663677130044843,,0.4663677130044843,0.4663677130044843
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,ranking,hits_at_1,1,0.7938931297709924,,0.7938931297709924,0.7938931297709924
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,ranking,hits_at_100,1,1.0,,1.0,1.0
