order,config_id,model,family,dataset,task,seed,metric,value,source
2,embedding_e5,E5,frozen_embedding,link_lives_release2,ranking,deterministic,ndcg_at_100,0.8092847357255727,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,classification,deterministic,f1,0.490272373540856,exp03_full_matrix_finalize_20260819/inventory/exp01_final/walmart_amazon/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_1,0.8702290076335878,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,deterministic,mrr_at_100,0.9210650672482734,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
2,embedding_e5,E5,frozen_embedding,walmart_amazon,ranking,deterministic,ndcg_at_100,0.9362109243072744,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,classification,deterministic,f1,0.3564453125,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_seen/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_1,0.3286573146292585,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_100_end_to_end,0.998,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,mrr_at_100,0.503337108315655,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,ndcg_at_100,0.6178133993907914,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,classification,deterministic,f1,0.39572192513368987,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_unseen/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_1,0.43172690763052207,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_100_end_to_end,0.996,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,mrr_at_100,0.5962304529889048,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
2,embedding_e5,E5,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,ndcg_at_100,0.6912090666315005,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,classification,deterministic,f1,0.33482810164424515,exp03_full_matrix_finalize_20260819/inventory/exp01_final/abt_buy/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,deterministic,hits_at_1,0.6233766233766234,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/abt_buy/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/abt_buy/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/abt_buy/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,deterministic,mrr_at_100,0.7442876387681582,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/abt_buy/metrics.json
