order,config_id,model,abt_buy_mean,abt_buy_std,abt_buy_n,amazon_google_mean,amazon_google_std,amazon_google_n,walmart_amazon_mean,walmart_amazon_std,walmart_amazon_n,wdc_80_medium_seen_mean,wdc_80_medium_seen_std,wdc_80_medium_seen_n,wdc_80_medium_unseen_mean,wdc_80_medium_unseen_std,wdc_80_medium_unseen_n,link_lives_release2_mean,link_lives_release2_std,link_lives_release2_n
38,hef_e5_official_ditto,HEF-GBDT + E5 + Official Ditto,0.8886010287365848,0.008695166463905208,3,0.6430276814391,0.057943966671710964,3,0.8586654328514616,0.017325268855243353,3,0.7277520288026451,0.00770245486352903,3,0.7063013304566703,0.014827419849563872,3,0.9434602954540373,0.0013600065316157648,3
39,hef_e5_official_ditto_mixda,HEF-GBDT + E5 + Official Ditto + MixDA,0.8950072974173489,0.011135134147762791,3,0.7160123972444903,0.017423146770002274,3,0.8768536160384557,0.007472351403645231,3,0.7439648015881638,0.007706518689079666,3,0.7137804003702518,0.00765069283319863,3,0.9433602794151928,0.00027327596271237587,3
40,joint_neural_bert,Joint neural HEF + BERT (fine-tuned),0.8322162340322687,0.007358878408071943,3,0.7450087046420724,0.008322095105821676,3,0.8436628793789037,0.014158589687123286,3,0.6859479596940506,0.012229565880741103,3,0.6302255827084084,0.02416871802352109,3,0.9187347250998161,0.006396450977756469,3
41,joint_neural_bge,Joint neural HEF + BGE (fine-tuned),0.8180361739022247,0.01624482904890712,3,0.7265300300404511,0.015178374132021269,3,0.7479685615950059,0.019506218960089184,3,0.5903437600600643,0.008574309746173969,3,0.5385377808922224,0.004904223997238856,3,0.8918557939359322,0.007631575945967611,3
42,joint_neural_e5,Joint neural HEF + E5 (fine-tuned),0.8358651239164471,0.009428344627232356,3,0.7482710707007958,0.008439039465049324,3,0.7410604895014903,0.033471117817382046,3,0.637965347580645,0.0047370177610474755,3,0.5840077180651984,0.010742578924122993,3,0.8976878793939297,0.0031718551449757115,3
43,joint_neural_gte,Joint neural HEF + GTE (fine-tuned),0.8533449310271765,0.0075493478863013115,3,0.7598422180230868,0.015290087281484422,3,0.805508411422606,0.015408369172401674,3,0.6767223231239062,0.009148147049667314,3,0.67452283309331,0.011907213752835509,3,0.9220103690798105,0.0050521833293365,3
44,joint_neural_jina,Joint neural HEF + Jina (fine-tuned),0.900990522672293,0.009725306209255808,3,0.7863612022199059,0.021581554819028518,3,0.8593884006259921,0.003456189149290102,3,0.7483781939043581,0.007359436569800402,3,0.7438793656396635,0.013665524488649937,3,0.9364384903887712,0.001547609868214419,3
45,joint_neural_minilm,Joint neural HEF + MiniLM (fine-tuned),0.7564367041586759,0.010459048877983993,3,0.7106631713145942,0.01170650557971825,3,0.7296618220225776,0.016787016688497927,3,0.5354825644949076,0.0033316293679481537,3,0.5352649340269148,0.0008472623965555813,3,0.8801307657124843,0.005203580894587589,3
46,joint_neural_roberta,Joint neural HEF + RoBERTa (fine-tuned),0.8973770311335824,0.019483421221795656,3,0.7660298576177456,0.00959948936713046,3,0.8769480583773936,0.008265990309196204,3,0.7433817220263473,0.01343047360104189,3,0.7109160576155833,0.014261902794161004,3,0.9216529690088924,0.0051823039081418405,3
47,hef_e5_tuned_jina,HEF-GBDT + E5 + fine-tuned Jina (OOF),0.8944617152115647,0.010776778839114319,3,0.7561586450547828,0.02220706139853566,3,0.8754769881746755,0.005246934183190907,3,0.7576540793141667,0.006452020903272717,3,0.7496093334253151,0.008480335753293596,3,0.934276188628978,0.009490868607729394,3
