model,dataset,scenario,mask_probability,mask_seed,queries,mrr_at_100,hits_at_1,mrr_retention,hits_at_1_retention,total_seconds,semantic_encoding_seconds,structured_features_seconds,cached_fusion_seconds,neural_scoring_seconds,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,rss_peak_bytes
official_ditto_mixda,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8287919330799464,0.76,1.0,1.0,115.54449552200094,,,,,3185610240,3927965696,1924870144
official_ditto_mixda,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8402833613720875,0.768,1.0,1.0,124.81792515299458,,,,,3185610240,3927965696,1933185024
official_ditto_plain,abt_buy,p00_seed20260725,0.0,20260725,154,0.984848484848485,0.974025974025974,1.0,1.0,24.034239795000758,,,,,3185610240,3676307456,1869041664
official_ditto_plain,amazon_google,p00_seed20260725,0.0,20260725,163,0.9470935097899036,0.9079754601226994,1.0,1.0,11.630591314999037,,,,,2211555840,2436890624,1853644800
official_ditto_plain,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.6475533736166765,0.5086153846153846,1.0,1.0,577.6049977330113,,,,,3185610240,3697278976,2481242112
official_ditto_plain,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9664909105217596,0.9541984732824428,1.0,1.0,12.868024695999338,,,,,2601177600,3003121664,1824829440
official_ditto_plain,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8221057777273402,0.75,1.0,1.0,116.77702513200347,,,,,3185610240,3927965696,1925652480
official_ditto_plain,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8515820027019013,0.786,1.0,1.0,126.4089208439982,,,,,3185610240,3927965696,1921994752
roberta_finetuned,abt_buy,p00_seed20260725,0.0,20260725,154,0.9712121212121212,0.9545454545454546,1.0,1.0,31.997231689005275,,,,,3511768576,4158652416,1482641408
roberta_finetuned,amazon_google,p00_seed20260725,0.0,20260725,163,0.9172947706690039,0.8588957055214724,1.0,1.0,16.080394727003295,,,,,2366898688,2604662784,1478361088
roberta_finetuned,link_lives_release2,p00_seed20260725,0.0,20260725,3250,0.9449807369101486,0.9113846153846153,1.0,1.0,951.571049257007,,,,,3906090496,4850712576,2363211776
roberta_finetuned,walmart_amazon,p00_seed20260725,0.0,20260725,131,0.9564249363867684,0.9236641221374046,1.0,1.0,19.247609325000667,,,,,2826859008,3319791616,1481957376
roberta_finetuned,wdc_80_medium_seen,p00_seed20260725,0.0,20260725,500,0.8359539439387266,0.762,1.0,1.0,231.37571993099118,,,,,4965832192,6551502848,1618792448
roberta_finetuned,wdc_80_medium_unseen,p00_seed20260725,0.0,20260725,500,0.8371035465128975,0.756,1.0,1.0,238.75377712999762,,,,,4965832192,6551502848,1634926592
