family,dataset,mask_probability,mask_seed,left_model,right_model,metric,comparison_type,left_mean,right_mean,paired_difference,ci95_lower,ci95_upper,effect_size_paired_dz,probability_of_superiority,raw_p_value,queries,holm_adjusted_p_value,statistically_supported_0_05
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.8571428571428571,0.8311688311688312,0.025974025974025976,-0.01948051948051948,0.07142857142857142,0.09314994689769614,0.512987012987013,0.3072,154,1.0,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8947159515448697,0.8721917158736772,0.022524235671192425,-0.021768346202284922,0.06873471442546011,0.0790040531809188,0.5227272727272727,0.3162,154,1.0,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family,0.8571428571428571,0.8311688311688312,0.025974025974025976,-0.032467532467532464,0.08441558441558442,0.07202793530836397,0.512987012987013,0.4184,154,1.0,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.7764549473192329,0.8668709333269343,-0.09041598600770155,-0.1335227063974231,-0.048329254665350506,-0.33091069522126026,0.4090909090909091,0.0,154,0.0,True
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.7142857142857143,0.8311688311688312,-0.11688311688311688,-0.17532467532467533,-0.06493506493506493,-0.3241257088876379,0.44155844155844154,0.0,154,0.0,True
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.7764549473192329,0.8721917158736772,-0.09573676855444434,-0.15238101275255103,-0.0401838685826544,-0.26884341216062396,0.44805194805194803,0.001,154,0.009000000000000001,True
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family,0.7142857142857143,0.8311688311688312,-0.11688311688311688,-0.18831168831168832,-0.045454545454545456,-0.26441750477671155,0.4415584415584416,0.0008,154,0.007200000000000001,True
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8668709333269343,0.8721917158736772,-0.005320782546742783,-0.04780765458055571,0.036855765157124,-0.019810035266528903,0.4967532467532467,0.7914,154,1.0,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family,0.8311688311688312,0.8311688311688312,0.0,-0.05194805194805195,0.05194805194805195,0.0,0.5,1.0,154,1.0,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone,0.8947159515448697,0.901795904312138,-0.00707995276726836,-0.04048412041018246,0.026726019934133476,-0.03234200107243337,0.5162337662337663,0.6776,154,1.0,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone,0.8571428571428571,0.8701298701298701,-0.012987012987012988,-0.05844155844155844,0.032467532467532464,-0.04642318062757275,0.4935064935064935,0.6406,154,1.0,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,official_ditto_plain,official_ditto_mixda,reciprocal_rank,within_standalone,0.8630891227341109,0.9091073608930753,-0.04601823815896442,-0.08467884273236578,-0.011044308394568124,-0.19496211114967557,0.4642857142857143,0.0084,154,0.0672,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,official_ditto_plain,official_ditto_mixda,hit_at_1,within_standalone,0.8376623376623377,0.8896103896103896,-0.05194805194805195,-0.09740259740259741,-0.012987012987012988,-0.1887895350814943,0.474025974025974,0.0212,154,0.1484,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,hef_linear_bert,hef_linear_bge,reciprocal_rank,within_linear,0.7764549473192329,0.8126984500559926,-0.036243502736759636,-0.06914856965560168,-0.006151319652061001,-0.18114869261927968,0.49025974025974023,0.0172,154,0.12040000000000001,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,hef_linear_bert,hef_linear_bge,hit_at_1,within_linear,0.7142857142857143,0.7727272727272727,-0.05844155844155844,-0.1038961038961039,-0.012987012987012988,-0.204674709189978,0.4707792207792208,0.0082,154,0.0656,False
