config_id,model,family,dataset,runs,f1_mean,f1_std,status
17,HEF-linear + Jina embedding,hef_linear,wdc_80_medium_seen,3,0.4302670623145401,0,complete
17,HEF-linear + Jina embedding,hef_linear,wdc_80_medium_unseen,3,0.48979591836734687,0,complete
17,HEF-linear + Jina embedding,hef_linear,link_lives_release2,3,0.820969337289812,0,complete
18,HEF-GBDT + E5,hef_gbdt,abt_buy,3,0.7140961868136305,0.0046849237626827136,complete
18,HEF-GBDT + E5,hef_gbdt,amazon_google,3,0.5816675381488888,0.009892790804706869,complete
18,HEF-GBDT + E5,hef_gbdt,walmart_amazon,3,0.7844407718824101,0.010518392244772752,complete
18,HEF-GBDT + E5,hef_gbdt,wdc_80_medium_seen,3,0.4790615737322126,0.009970207902665874,complete
18,HEF-GBDT + E5,hef_gbdt,wdc_80_medium_unseen,3,0.5142137673989499,0.0016046326419122366,complete
18,HEF-GBDT + E5,hef_gbdt,link_lives_release2,3,0.8602926699689689,0.0012427960490436305,complete
19,HEF-GBDT + MiniLM,hef_gbdt,abt_buy,3,0.7117043812359395,0.0017753947255006973,complete
19,HEF-GBDT + MiniLM,hef_gbdt,amazon_google,3,0.5728565874907338,0.003059733736652319,complete
19,HEF-GBDT + MiniLM,hef_gbdt,walmart_amazon,3,0.7708485905052737,0.013946311208679625,complete
19,HEF-GBDT + MiniLM,hef_gbdt,wdc_80_medium_seen,3,0.44071615292101357,0.011917839013921443,complete
19,HEF-GBDT + MiniLM,hef_gbdt,wdc_80_medium_unseen,3,0.47604997402043203,0.00239769623302177,complete
19,HEF-GBDT + MiniLM,hef_gbdt,link_lives_release2,3,0.8551249553294346,0.0031039409612479666,complete
20,HEF-GBDT + BGE,hef_gbdt,abt_buy,3,0.7332439513672112,0.0037580050029790714,complete
20,HEF-GBDT + BGE,hef_gbdt,amazon_google,3,0.5894155369720362,0.00363679526711723,complete
20,HEF-GBDT + BGE,hef_gbdt,walmart_amazon,3,0.7773078086531271,0.005880878198002086,complete
20,HEF-GBDT + BGE,hef_gbdt,wdc_80_medium_seen,3,0.467892176873786,0.004790602704359159,complete
20,HEF-GBDT + BGE,hef_gbdt,wdc_80_medium_unseen,3,0.5269880825696732,0.0012820067273810734,complete
20,HEF-GBDT + BGE,hef_gbdt,link_lives_release2,3,0.8622960681707093,0.0010658876835525563,complete
21,HEF-GBDT + GTE,hef_gbdt,abt_buy,3,0.7289785732541363,0.009302865157965131,complete
21,HEF-GBDT + GTE,hef_gbdt,amazon_google,3,0.5846455031795056,0.00023913334082138833,complete
21,HEF-GBDT + GTE,hef_gbdt,walmart_amazon,3,0.7880256201487272,0.00489585551159267,complete
21,HEF-GBDT + GTE,hef_gbdt,wdc_80_medium_seen,3,0.48121112270451566,0.0008399893630356813,complete
21,HEF-GBDT + GTE,hef_gbdt,wdc_80_medium_unseen,3,0.5249446537626002,0.0020683349823564815,complete
21,HEF-GBDT + GTE,hef_gbdt,link_lives_release2,3,0.8571857477071391,0.0008761094253022655,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,abt_buy,3,0.7148199404571219,0.011088881303800459,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,amazon_google,3,0.5671425512151983,0.009058345367340973,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,walmart_amazon,3,0.7811759877206746,0.0052333127303075015,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,wdc_80_medium_seen,3,0.4570660848920503,0.006248253081460334,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,wdc_80_medium_unseen,3,0.4980570083365672,0.009257064231053902,complete
22,HEF-GBDT + RoBERTa embedding,hef_gbdt,link_lives_release2,3,0.8514304720325798,0.002283119101702291,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,abt_buy,3,0.6930542593309205,0.015656137279221365,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,amazon_google,3,0.5687827349573281,0.011637842925491377,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,walmart_amazon,3,0.7626895310969917,0.014083641319941739,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,wdc_80_medium_seen,3,0.44394966902572075,0.003290656859044829,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,wdc_80_medium_unseen,3,0.47608630440631955,0.005368280952261862,complete
23,HEF-GBDT + BERT embedding,hef_gbdt,link_lives_release2,3,0.8474187577305065,0.005326955886305377,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,abt_buy,3,0.7025944117189243,0.016241342292215626,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,amazon_google,3,0.5635860933223364,0.011209057510766212,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,walmart_amazon,3,0.7664895101708336,0.005643562622425354,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,wdc_80_medium_seen,3,0.44937309181027324,0.007170565679900116,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,wdc_80_medium_unseen,3,0.48927978695408475,0.004603373439011955,complete
24,HEF-GBDT + Jina embedding,hef_gbdt,link_lives_release2,3,0.8511363254848973,0.002073345227142077,complete
25,Jina zero-shot,neural_em,abt_buy,1,0.6564885496183206,,complete
25,Jina zero-shot,neural_em,amazon_google,1,0.5517241379310345,,complete
25,Jina zero-shot,neural_em,walmart_amazon,1,0.6212534059945504,,complete
25,Jina zero-shot,neural_em,wdc_80_medium_seen,1,0.46986301369863015,,complete
25,Jina zero-shot,neural_em,wdc_80_medium_unseen,1,0.5025706940874036,,complete
