model_family,dataset,fraction_percent,seed_count,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,ece_mean,ece_std
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,35,3,0.9253699702961219,0.0040570123276051735,0.8972930595405408,0.011942215331556448,0.9553846153846154,0.006358147175314391,0.9921448389544635,9.900938886388689e-05,0.9686594786820995,0.002344392976036712,0.022438242161772464,0.0011977918700588654,0.016634951980530024,0.0012440569199486764
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,40,3,0.9255773034936235,0.002103203076441229,0.8937731147375566,0.0072782862019238476,0.9597948717948718,0.006323307750481344,0.9926378659473661,0.0013585149834521232,0.9697998772200014,0.002733585036904895,0.02083354305462798,0.0004481865514797434,0.014163640063620333,0.000632393456336049
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,45,3,0.9240468140063751,0.0036257786680922986,0.8931872341201251,0.0027133149283260992,0.9571282051282051,0.006232826504302977,0.9925359873484717,0.0016246017958024077,0.9697576635023175,0.0031448703138627705,0.022887114371121037,0.0012199326419947462,0.018250720903529055,0.002861649929044639
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,50,3,0.9276988437326968,0.003344636668112819,0.9026675216232127,0.014077564781639683,0.9543589743589743,0.008796628366109328,0.9930031469401028,0.0012605310937400156,0.9710953329510784,0.002537486638825597,0.021975474048778712,0.0006593619239329273,0.01676621989446613,0.0013950996872098245
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,55,3,0.926713158804016,0.007573296564598891,0.8939561623845218,0.022194915077690447,0.9623589743589743,0.009540115654755692,0.9928842869805317,0.0009880087020397758,0.9705584732423,0.002589326653030422,0.021007381418413035,0.002683310643947396,0.015183252337190993,0.0036674728795272546
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,60,3,0.9219948876305479,0.006321269749659085,0.8889289665611474,0.014341309524297791,0.9577435897435898,0.0037600621086816876,0.9919407469758129,0.0009306999088362878,0.967463727374186,0.00449602018062002,0.022830717111675666,0.0021053821858314932,0.017560635934995582,0.0028563649558409417
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,65,3,0.9286237010145847,0.003944123627431274,0.8898187917527827,0.011432665441661076,0.9710769230769231,0.0050839112744179545,0.994171908378449,0.000917878586580348,0.9733667614076839,0.001753882003093282,0.020794056333322767,0.0008084874899430911,0.016091738199581745,0.0023877343956377355
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,70,3,0.9303359298376312,0.003201019992127399,0.8975367153552563,0.004392129312117049,0.9656410256410256,0.004945461928714366,0.9931541426740382,0.0017894354493192264,0.9714830915499395,0.0038857435483547376,0.02178445039419932,0.0011886109121764972,0.017971140412423293,0.0018147742073310095
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,75,3,0.9334133767497652,0.011238921546168536,0.9048559197712844,0.02520337653186489,0.9642051282051282,0.006382916054359622,0.9936229857351468,0.0003307950300924707,0.9716929689718572,0.003935712660452542,0.020641832297763254,0.004307357161344544,0.016323827161056185,0.005032272804475572
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,80,3,0.9309930553256552,0.000648505975650876,0.8962428487203484,0.006071801257260079,0.9686153846153847,0.0073524942432913725,0.9936286132420178,0.0001997433212513436,0.9725537427905468,0.0005467491764661203,0.019918672629254685,8.995766921342161e-05,0.014211900800758764,0.0011387015634303924
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,85,3,0.9342801571078571,0.0013939064294424262,0.9104968537542922,0.005666769961919859,0.9593846153846154,0.005648479923287927,0.9938537294588028,0.0011070842927663267,0.9749679197984314,0.0022449798626416853,0.018974157030272987,0.0008951138242167098,0.013706607744893443,0.0024982273399134507
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,90,3,0.9289615282581273,0.002113673175166687,0.8910734353356201,0.006690888316325625,0.9702564102564103,0.0035926727975665656,0.9936011006319387,0.0006441778829476794,0.9726274700006663,0.0006032146433793431,0.021968924215366097,0.0012390591268523327,0.018710809582825273,0.0023375070152930892
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,95,3,0.9327627146014226,0.0021561833361309797,0.8979901078250977,0.0044186685244180495,0.9703589743589743,0.0042672090385056,0.9938784904890351,0.0005071862648593113,0.9737019068805498,0.0012009104413431952,0.020768744319138888,0.001355076280317166,0.016677523371960268,0.0014079000268348474
hef_gbdt_e5_finetuned_jina_oof,link_lives_release2,100,3,0.9351582777844865,0.0018018671245836311,0.910439138770659,0.008472938100781268,0.9613333333333333,0.005709606424499161,0.9950011669504333,0.0006155886447373162,0.9763059948399864,0.0019287818481921605,0.02045668043365244,0.001805781234120596,0.01755301150016882,0.003499022694807836
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,1,3,0.6518805707057213,0.04517644123922672,0.5749981844589688,0.09993461919907295,0.770293609671848,0.07442646433994907,0.9153815660175093,0.021086728283731457,0.5536140109108654,0.07799536909656896,0.05739291290060842,0.004020652982618542,0.04911375395552969,0.01451513665716214
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,2,3,0.7296013579661539,0.02245068601135896,0.6500206782464847,0.0518874645273531,0.8359240069084628,0.04188033040753766,0.9593225165267107,0.006590709356042765,0.6680217450172089,0.05990166567569985,0.049896684210466884,0.007440221056769644,0.07589145930573427,0.034163145638925266
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,3,3,0.7572468058790247,0.01571847451108634,0.7255937259036429,0.08085596295971248,0.8031088082901554,0.07253886010362696,0.9670866275087845,0.0029061590081108355,0.8122222913042056,0.03334794722097271,0.0363393670430308,0.005109258488424907,0.02327652713515287,0.006992768972260433
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,4,3,0.7614114114114114,0.03433582996651982,0.7187394298064832,0.066584135581326,0.8134715025906736,0.033976365410891204,0.9742509938359836,0.0011594248082512548,0.8266151154955506,0.027413934723564765,0.033706016850153266,0.004094522794744152,0.02400105264683037,0.009290760727690053
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,5,3,0.7976464148877942,0.008539114126343814,0.7562046536313514,0.01487893683851488,0.844559585492228,0.026923069547702787,0.9542835447561193,0.01338954081764626,0.8524071616071842,0.02060447976038866,0.03129207860190894,0.004488176575603579,0.022084050844645278,0.016759186556102396
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,10,3,0.8438665654036521,0.011172261380415062,0.8727956770329652,0.013130690838543985,0.8169257340241796,0.015829277011937266,0.9527704573878863,0.008699506828969666,0.881286952447458,0.007433434545017289,0.025774512409263803,0.0009489700252507905,0.018903650983854176,0.004482715233466322
hef_gbdt_e5_finetuned_jina_oof,walmart_amazon,15,3,0.834892443564937,0.016157568723663477,0.8500970965081758,0.025328783912778336,0.8203799654576857,0.010785834194125033,0.9659587911678875,0.010535237382684321,0.9004536824692404,0.007808719293511904,0.023716712395466938,0.0008807980009773791,0.013064184800155608,0.002465027035832426
